,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
5,WeightedEnsemble,-1692.3719397294171,-712.9712281865274,0.21123170852661133,0.05998110771179199,157.8818597793579,13
16,TiDE,-2633.5939034440908,-778.2222572086378,0.042971134185791016,0.017774581909179688,20575.4193046093,12
1,TemporalFusionTransformer,-1442.1986027277317,-792.3222657770995,0.13856220245361328,0.02829885482788086,9062.131812095642,9
9,PatchTST,-1707.534874672551,-796.0844308364569,0.028109312057495117,0.013907670974731445,5541.16179060936,11
17,DeepAR,-2802.51760801868,-910.21740430332,0.062268733978271484,0.044765472412109375,9494.971902132034,10
7,DynamicOptimizedTheta,-1704.076633764714,-1083.3847794608675,0.3900322914123535,0.3180527687072754,133.39033102989197,5
3,AutoETS,-1664.5271834390683,-1110.7467628364827,2.155679225921631,1.1362099647521973,114.32685565948486,6
14,ChronosZeroShot[bolt_base],-2563.753741229158,-1133.7082429003106,1.4796950817108154,1.1330347061157227,202.63563561439514,7
11,ChronosFineTuned[bolt_small],-2171.76305377628,-1277.5810117980525,0.7914836406707764,0.05075955390930176,16761.747238636017,8
19,RecursiveTabular,-5132.763985881839,-1516.9809675556826,0.21925878524780273,0.18107271194458008,373.50847721099854,2
21,SeasonalNaive,-5636.982931624733,-1600.3746815975235,0.01085662841796875,0.011562585830688477,3.531216621398926,1
23,DirectTabular,-8763.593362732936,-1726.318392526709,0.15069818496704102,0.09415030479431152,533.0468289852142,3
25,NPTS,-69793.60935161191,-11382.279665472764,0.09511017799377441,0.15969085693359375,10.698525428771973,4
0,TemporalFusionTransformer_FULL,-1442.1986027277317,,0.08494305610656738,,47.190428018569946,22
2,AutoETS_FULL,-1664.5271834390683,,1.8200912475585938,,0.0074994564056396484,19
4,WeightedEnsemble_FULL,-1692.3719397294171,,0.16154193878173828,,157.8818597793579,26
6,DynamicOptimizedTheta_FULL,-1704.076633764714,,0.6478531360626221,,0.006216526031494141,18
8,PatchTST_FULL,-1707.534874672551,,0.029608964920043945,,37.905099630355835,24
10,ChronosFineTuned[bolt_small]_FULL,-2171.76305377628,,0.8171951770782471,,238.72423362731934,21
12,RecursiveTabular_FULL,-2561.628768513391,,0.08899855613708496,,2.9277920722961426,15
13,ChronosZeroShot[bolt_base]_FULL,-2563.753741229158,,1.356576919555664,,0.005632877349853516,20
15,TiDE_FULL,-2633.5939034440908,,0.04521369934082031,,186.67533898353577,25
18,DeepAR_FULL,-2902.3444357154062,,0.05800151824951172,,50.04031443595886,23
20,SeasonalNaive_FULL,-5636.982931624733,,0.010194540023803711,,0.008347749710083008,14
22,DirectTabular_FULL,-6881.94496694937,,0.14301323890686035,,5.70417332649231,16
24,NPTS_FULL,-69333.63227947138,,0.09802961349487305,,0.00997471809387207,17
