,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
2,WeightedEnsemble,-3272.6322286420136,-1708.7192512392626,0.34670472145080566,0.21804165840148926,180.8407061100006,13
1,PatchTST,-3018.577729021435,-1800.4668683213126,0.037120819091796875,0.016742944717407227,4567.7325830459595,11
15,TiDE,-5390.763070143979,-1881.0229144964658,0.05524420738220215,0.019829273223876953,15714.763353824615,12
7,DeepAR,-3865.7025097153805,-2068.6316162728813,0.16089272499084473,0.14989495277404785,10694.91297507286,10
9,TemporalFusionTransformer,-4000.571778334589,-2141.443149931722,0.0907602310180664,0.03157448768615723,7909.322133779526,9
11,DynamicOptimizedTheta,-4405.166305090345,-2366.0769281884645,0.3710153102874756,0.315077543258667,126.50973463058472,5
13,AutoETS,-5136.454855939928,-2446.8732579546518,1.3005452156066895,1.155848741531372,114.5444073677063,6
5,ChronosZeroShot[bolt_base],-3371.5144426521024,-2533.4583699910904,2.309335708618164,1.9773099422454834,295.6028974056244,7
18,SeasonalNaive,-7289.6346204731,-2593.4725502549786,0.011890411376953125,0.0167238712310791,4.412535190582275,1
16,RecursiveTabular,-6499.183679764425,-2789.7340758175283,0.4240283966064453,0.3239593505859375,335.2853479385376,2
20,ChronosFineTuned[bolt_small],-8197.637881659975,-3668.0628039358494,0.981548547744751,0.03334379196166992,16724.744195222855,8
23,DirectTabular,-33757.091451814274,-4913.4313897112615,0.1338181495666504,0.12000083923339844,537.6210203170776,3
24,NPTS,-63231.32871458032,-11782.170877773811,0.4788789749145508,0.4344661235809326,44.2496657371521,4
0,PatchTST_FULL,-3018.577729021435,,0.03672909736633301,,90.27803683280945,24
3,WeightedEnsemble_FULL,-3276.8362309603185,,0.35344982147216797,,180.8407061100006,26
4,ChronosZeroShot[bolt_base]_FULL,-3371.5144426521024,,2.270026922225952,,0.010025739669799805,20
6,DeepAR_FULL,-3852.794111363187,,0.16067719459533691,,102.23522543907166,23
8,TemporalFusionTransformer_FULL,-4000.571778334589,,0.0934298038482666,,61.99778628349304,22
10,DynamicOptimizedTheta_FULL,-4405.166305090345,,0.3877086639404297,,0.007071971893310547,18
12,AutoETS_FULL,-5136.454855939928,,1.3064250946044922,,0.0073299407958984375,19
14,TiDE_FULL,-5390.763070143979,,0.05959033966064453,,117.05334734916687,25
17,SeasonalNaive_FULL,-7289.6346204731,,0.013616085052490234,,0.010219097137451172,14
19,ChronosFineTuned[bolt_small]_FULL,-8197.637881659975,,0.8594341278076172,,238.70323038101196,21
21,RecursiveTabular_FULL,-9134.248930759397,,0.5722453594207764,,2.678704023361206,15
22,DirectTabular_FULL,-21229.962532821035,,0.12762022018432617,,3.7951347827911377,16
25,NPTS_FULL,-64143.31747014694,,0.44854116439819336,,0.006508350372314453,17
